2014-15 School Quality Report Results for High Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
02M630,Art and Design High School,High School,1476,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,0.80,0.76,0.85,0.66,0.66,0.82,Developing,Developing,Proficient,Developing,Developing,"December 18, 2014",2.76,2.55,0.012,0.167,0.020,0.554,0.062,0.392,0.085,0.241,0.547,0.108,0.8,0.83,0.91,0.25,0.97
02M655,Life Sciences Secondary School,High School,697,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,0.90,0.90,0.77,0.67,0.65,0.81,Proficient,Proficient,Developing,Proficient,Developing,"December 5-6, 2013",2.38,2.28,0.070,0.180,0.053,0.765,0.106,0.604,0.043,0.283,0.622,0.032,0.5,0.74,0.83,0.53,0.96
03M283,Manhattan Theatre Lab High School,High School,53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.94,0.97,0.84,0.94,0.81,0.96,N/A,N/A,N/A,N/A,N/A,,2.23,2.15,0.151,0.340,0.000,0.787,0.132,0.604,0.019,0.377,0.566,0.038,3,1.00,0.83,0.48,0.97
03M299,"High School for Arts, Imagination and Inquiry",High School,447,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.75,0.79,0.69,0.74,0.86,Proficient,Proficient,Proficient,Well Developed,Proficient,"February 27, 2015",2.25,2.12,0.128,0.226,0.040,0.754,0.141,0.586,0.004,0.385,0.588,0.009,10,0.63,0.83,0.48,0.97
03M307,"Urban Assembly School for Media Studies, The",High School,412,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.90,0.88,0.81,0.87,0.73,0.87,Proficient,Developing,Proficient,Proficient,Proficient,"November 14-15, 2013",2.25,2.13,0.095,0.206,0.002,0.723,0.083,0.573,0.019,0.364,0.578,0.017,6.4,0.65,0.84,0.55,0.98
03M402,The Urban Assembly School for Green Careers,High School,353,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.78,0.87,0.76,0.85,0.72,0.82,Proficient,Proficient,Proficient,Proficient,Proficient,"March 25-26, 2014",2.22,2.13,0.161,0.263,0.011,0.793,0.122,0.649,0.011,0.232,0.720,0.028,1.9,0.31,0.84,0.50,0.97
03M403,The Global Learning Collaborative,High School,496,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,0.83,0.73,0.80,0.76,0.87,0.81,Proficient,Developing,Proficient,Proficient,Well Developed,"May 5, 2015",2.28,2.16,0.133,0.238,0.012,0.766,0.133,0.619,0.024,0.250,0.663,0.054,2.8,0.74,0.87,0.37,0.97
03M415,Wadleigh Secondary School for the Performing & Vis,High School,445,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.86,0.77,0.82,0.71,0.77,0.82,Developing,Developing,Proficient,Proficient,Proficient,"December 18, 2014",2.28,2.08,0.048,0.221,0.098,0.791,0.151,0.631,0.018,0.520,0.442,0.010,3.4,0.81,0.78,0.51,0.97
03M417,FRANK McCOURT HIGH SCHOOL,High School,387,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.92,0.98,0.86,0.95,0.80,0.93,Well Developed,Well Developed,Proficient,Proficient,Well Developed,"February 9, 2015",2.89,2.65,0.013,0.176,0.003,0.444,0.031,0.313,0.088,0.158,0.401,0.318,5,0.69,0.94,0.16,0.97
03M479,Beacon High School,High School,1285,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.88,0.92,0.92,0.86,0.75,0.92,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"December 17, 2014",3.53,3.26,0.001,0.058,0.000,0.278,0.012,0.156,0.089,0.137,0.238,0.518,10.9,0.86,0.96,0.06,0.98
03M485,Fiorello H. LaGuardia High School of Music & Art a,High School,2635,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Exceeding Target,0.79,0.70,0.81,0.52,0.67,0.71,Proficient,Proficient,Proficient,Well Developed,Proficient,"March 31, 2015",3.58,3.35,0.000,0.023,0.000,0.253,0.009,0.132,0.194,0.113,0.194,0.453,1.8,0.92,0.95,0.09,0.97
03M492,"High School for Law, Advocacy and Community Justic",High School,510,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.90,0.90,0.78,0.85,0.72,0.86,Proficient,Well Developed,Well Developed,Proficient,Well Developed,"January 13, 2015",2.43,2.28,0.059,0.163,0.045,0.754,0.122,0.596,0.024,0.420,0.527,0.022,3.8,0.74,0.85,0.43,0.97
03M494,High School of Arts and Technology,High School,594,Not Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,N/A,N/A,Approaching Target,0.75,0.64,0.73,0.51,0.69,0.73,Developing,Developing,Developing,Developing,Developing,"November 21, 2014",2.25,2.17,0.106,0.221,0.047,0.775,0.155,0.598,0.039,0.325,0.593,0.029,12.9,0.86,0.77,0.64,0.94
03M541,Manhattan / Hunter Science High School,High School,451,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.87,0.91,0.90,0.89,0.68,0.90,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,"January 16, 2015",3.26,3.2,0.000,0.093,0.000,0.483,0.027,0.313,0.259,0.164,0.379,0.131,1.8,0.89,0.98,0.06,0.96
03M859,Special Music School,High School,231,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,N/A,0.96,0.97,0.91,0.95,0.91,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"October 28, 2014",3.11,2.95,0.011,0.141,0.000,0.253,0.043,0.174,0.185,0.217,0.152,0.293,5.2,0.57,0.96,0.09,0.98
03M860,Frederick Douglass Academy II Secondary School,High School,411,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.76,0.76,0.81,0.72,0.76,0.84,Proficient,Developing,Proficient,Proficient,Well Developed,"November 14, 2014",2.14,2.02,0.080,0.217,0.000,0.786,0.130,0.601,0.022,0.678,0.263,0.019,4.9,0.40,0.80,0.59,0.98
04M372,ESPERANZA PREPARATORY ACADEMY,High School,507,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,N/A,0.87,0.77,0.84,0.72,0.77,0.85,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"January 10- 11, 2013",2.15,2.15,0.418,0.219,0.089,0.836,0.253,0.646,0.013,0.131,0.831,0.021,0.1,0.44,0.85,0.51,0.97
04M409,Coalition School for Social Change,High School,283,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,0.84,0.89,0.83,0.81,0.75,0.92,Developing,Developing,Developing,Proficient,Developing,"April 22, 2015",2.12,2.03,0.099,0.343,0.025,0.822,0.124,0.678,0.042,0.410,0.502,0.035,3.8,0.91,0.80,0.59,0.96
04M435,Manhattan Center for Science and Mathematics,High School,1603,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,0.92,0.92,0.85,0.83,0.65,0.86,Proficient,Well Developed,Well Developed,Well Developed,Proficient,"May 5-7, 2014",3.05,3.14,0.034,0.066,0.001,0.678,0.061,0.516,0.192,0.209,0.541,0.042,8,0.78,0.93,0.18,0.98
04M495,Park East High School,High School,413,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.95,0.91,0.90,0.73,0.95,Proficient,Developing,Developing,Well Developed,Proficient,"March 12, 2015",2.44,2.35,0.019,0.148,0.000,0.749,0.073,0.596,0.048,0.276,0.637,0.017,10,0.89,0.92,0.25,0.98
04M555,Central Park East High School,High School,466,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.87,0.94,0.91,0.93,0.73,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 18, 2015",2.71,2.59,0.030,0.137,0.004,0.742,0.079,0.584,0.073,0.245,0.633,0.039,10,0.74,0.94,0.17,0.98
04M610,Young Women's Leadership School,High School,480,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,0.90,0.97,0.87,0.92,0.72,0.94,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"April 29, 2015",2.85,2.8,0.009,0.175,0.000,0.722,0.074,0.534,0.089,0.279,0.574,0.034,8,0.62,0.95,0.16,0.97
04M680,"Heritage School, The",High School,322,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.84,0.90,0.73,0.86,0.76,0.87,Developing,Developing,Proficient,Proficient,Proficient,"April 17, 2015",2.2,2.06,0.059,0.292,0.000,0.806,0.140,0.652,0.012,0.323,0.637,0.019,3.6,0.68,0.83,0.52,0.92
05M157,The Urban Assembly School for Global Commerce,High School,164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.84,0.96,0.82,0.93,0.88,0.94,Proficient,Developing,Proficient,Proficient,Proficient,"February 25, 2015",2.22,2.07,0.091,0.274,0.024,0.817,0.165,0.683,0.024,0.439,0.494,0.012,2,0.27,0.89,0.36,0.97
05M304,Mott Hall High School,High School,428,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,0.78,0.81,0.81,0.72,0.83,0.85,Developing,Developing,Proficient,Proficient,Proficient,"November 12, 2014",2.22,2.15,0.112,0.236,0.028,0.805,0.096,0.657,0.009,0.383,0.591,0.007,4.8,0.73,0.87,0.41,0.96
05M362,Columbia Secondary School,High School,659,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.87,0.92,0.88,0.90,0.84,0.93,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"November 21, 2014",3.45,3,0.000,0.032,0.000,0.507,0.032,0.352,0.137,0.220,0.481,0.148,3.9,0.67,0.96,0.13,0.97
05M367,Academy for Social Action: A College Board School,High School,234,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.85,0.94,0.74,0.88,0.81,0.89,Proficient,Developing,Proficient,Proficient,Proficient,"April 28-29, 2014",2.07,1.96,0.189,0.276,0.065,0.797,0.171,0.604,0.005,0.465,0.493,0.028,4.6,0.61,0.71,0.68,0.94
05M369,Urban Assembly School for the Performing Arts,High School,358,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.80,0.87,0.83,0.86,0.72,0.90,Proficient,Developing,Proficient,Proficient,Proficient,"March 25, 2015",2.22,2.11,0.047,0.207,0.011,0.775,0.126,0.634,0.008,0.522,0.430,0.014,0.9,0.57,0.81,0.63,0.97
05M469,Choir Academy of Harlem,High School,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.81,0.88,0.79,0.89,0.91,0.93,Developing,Developing,Developing,Proficient,Proficient,"January 7, 2015",2.34,2.11,0.000,0.200,0.000,0.832,0.200,0.600,0.000,0.780,0.200,0.020,0.8,1.00,0.68,0.80,0.97
05M499,Frederick Douglass Academy,High School,1428,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.89,0.86,0.79,0.75,0.78,0.85,Proficient,Developing,Proficient,Well Developed,Proficient,"April 28-29, 2014",2.51,2.46,0.018,0.103,0.010,0.708,0.095,0.505,0.017,0.704,0.232,0.014,3.7,0.84,0.89,0.31,0.96
05M670,Thurgood Marshall Academy for Learning and Social,High School,561,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.79,0.90,0.79,0.82,0.74,0.91,Proficient,Developing,Proficient,Proficient,Proficient,"March 19-20, 2014",2.46,2.31,0.018,0.176,0.003,0.732,0.063,0.572,0.013,0.776,0.196,0.008,4,0.87,0.92,0.21,0.95
05M685,Bread & Roses Integrated Arts High School,High School,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.88,0.85,0.81,0.81,0.87,0.88,Developing,Developing,Developing,Developing,Developing,"November 12, 2014",2.03,1.96,0.150,0.370,0.190,0.812,0.110,0.680,0.000,0.520,0.480,0.000,4.4,0.86,0.75,0.71,0.95
05M692,"High School for Mathematics, Science and Engineeri",High School,470,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.93,0.90,0.90,0.89,0.75,0.90,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"January 8, 2015",3.7,3.83,0.002,0.038,0.004,0.397,0.032,0.251,0.385,0.096,0.217,0.268,3.7,0.97,0.96,0.09,0.98
06M211,Inwood Early College for Health and Information Te,High School,87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.91,0.92,0.89,0.96,0.79,0.95,Proficient,Developing,Developing,Proficient,Developing,"May 15, 2015",2.58,2.61,0.080,0.138,0.000,0.708,0.069,0.575,0.046,0.218,0.678,0.034,1,0.71,0.92,0.24,0.99
06M293,City College Academy of the Arts,High School,587,Approaching Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Exceeding Target,0.85,0.79,0.88,0.67,0.71,0.84,Proficient,Developing,Developing,Proficient,Proficient,"November 25, 2014",2.82,2.92,0.023,0.132,0.000,0.708,0.056,0.499,0.009,0.038,0.941,0.012,10,0.88,0.94,0.16,0.98
06M346,Community Health Academy of the Heights,High School,629,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.87,0.95,0.89,0.91,0.80,0.95,Proficient,Developing,Proficient,Proficient,Well Developed,"April 30, 2015",2.22,2.1,0.219,0.208,0.016,0.850,0.145,0.688,0.000,0.049,0.918,0.027,4.1,0.68,0.81,0.51,0.97
06M348,Washington Heights Expeditionary Learning School,High School,705,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.83,0.87,0.89,0.76,0.79,0.92,Proficient,Proficient,Proficient,Well Developed,Well Developed,"March 18, 2015",2.36,2.51,0.147,0.232,0.003,0.840,0.131,0.689,0.003,0.038,0.948,0.005,9,0.84,0.86,0.44,0.96
06M462,The College Academy,High School,491,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.84,0.90,0.81,0.81,0.78,0.90,Proficient,Proficient,Proficient,Proficient,Proficient,"November 19, 2014",2.05,2.05,0.444,0.210,0.043,0.838,0.169,0.690,0.002,0.090,0.892,0.006,4.3,0.86,0.85,0.45,0.96
06M463,High School for Media and Communications,High School,479,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.76,0.78,0.81,0.68,0.79,0.85,Proficient,Developing,Proficient,Proficient,Proficient,"October 29-30, 2013",2.18,2.09,0.338,0.198,0.035,0.832,0.190,0.672,0.019,0.138,0.825,0.013,7,0.79,0.83,0.49,0.96
06M467,High School for Law and Public Service,High School,671,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.87,0.86,0.81,0.84,0.88,0.91,Proficient,Developing,Proficient,Proficient,Proficient,"December 4, 2014",2.22,2.12,0.274,0.207,0.080,0.799,0.142,0.635,0.004,0.168,0.808,0.016,15.8,0.93,0.88,0.38,0.96
06M468,High School for Health Careers and Sciences,High School,605,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Approaching Target,0.80,0.74,0.81,0.67,0.89,0.83,Proficient,Developing,Developing,Proficient,Proficient,"February 11, 2015",2.2,2.12,0.307,0.182,0.002,0.838,0.205,0.653,0.013,0.159,0.798,0.015,2.4,0.68,0.86,0.45,0.96
06M540,A. Philip Randolph Campus High School,High School,1354,Meeting Target,Meeting Target,N/A,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.85,0.84,0.86,0.81,0.76,0.88,Proficient,Developing,Proficient,Proficient,Proficient,"April 16, 2015",2.5,2.37,0.069,0.141,0.033,0.772,0.103,0.619,0.049,0.320,0.597,0.017,3.6,0.78,0.86,0.40,0.95
06M552,Gregorio Luperon High School for Science and Mathe,High School,504,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.94,0.93,0.92,0.91,0.82,0.96,Developing,Developing,Developing,Well Developed,Proficient,"May 1, 2015",1.76,2.03,0.833,0.016,0.000,0.823,0.310,0.558,0.000,0.000,1.000,0.000,15.4,0.90,0.91,0.24,0.97
07X221,South Bronx Preparatory: A College Board School,High School,654,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.89,0.92,0.89,0.87,0.74,0.91,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"January 14, 2015",2.34,2.21,0.028,0.212,0.003,0.872,0.096,0.700,0.017,0.252,0.703,0.014,8,0.62,0.90,0.36,0.97
07X223,M.S. 223 The Laboratory School of Finance and Tech,High School,502,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Approaching Target,Approaching Target,N/A,0.84,0.76,0.85,0.71,0.75,0.82,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"December 17-18, 2013",2.5,2.5,0.061,0.201,0.000,0.866,0.042,0.734,0.000,0.206,0.785,0.009,12,0.50,0.94,0.20,0.97
07X259,"H.E.R.O. High (Health, Education, and Research Occ",High School,231,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.83,0.89,0.75,0.90,0.81,0.89,Proficient,Proficient,Proficient,Proficient,Proficient,"May 11, 2015",2.25,2.13,0.113,0.177,0.009,0.817,0.126,0.654,0.022,0.355,0.589,0.017,2,0.31,0.84,0.51,0.96
07X334,International Community High School,High School,463,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.90,0.96,0.88,0.93,0.85,0.97,Developing,Proficient,Proficient,Proficient,Proficient,"March 17, 2014",1.73,1.91,0.860,0.032,0.004,0.790,0.248,0.497,0.065,0.140,0.767,0.013,8.5,0.71,0.83,0.43,0.98
07X427,Community School for Social Justice,High School,324,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.88,0.92,0.92,0.93,0.87,0.96,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"April 14, 2015",2.15,2.09,0.099,0.250,0.015,0.841,0.151,0.685,0.015,0.296,0.673,0.012,12.9,0.67,0.79,0.61,0.97
07X473,Mott Haven Village Preparatory High School,High School,364,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,0.80,0.79,0.85,0.72,0.80,0.86,Developing,Developing,Developing,Proficient,Proficient,"February 6, 2015",2.15,2.08,0.096,0.217,0.003,0.824,0.113,0.665,0.003,0.253,0.736,0.005,2.3,0.65,0.80,0.57,0.97
07X495,University Heights Secondary School,High School,486,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.94,0.92,0.88,0.89,0.80,0.92,Proficient,Proficient,Proficient,Well Developed,Proficient,"March 19, 2015",2.73,2.64,0.021,0.082,0.004,0.805,0.072,0.660,0.031,0.300,0.646,0.016,5.8,0.85,0.93,0.23,0.97
07X500,Hostos-Lincoln Academy of Science,High School,544,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.83,0.79,0.76,0.71,0.77,0.86,Proficient,Developing,Proficient,Proficient,Developing,"May 15, 2015",2.64,2.58,0.029,0.167,0.006,0.799,0.079,0.594,0.038,0.225,0.699,0.015,10.9,0.81,0.92,0.24,0.94
07X520,Foreign Language Academy of Global Studies,High School,145,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.84,0.77,0.77,0.69,0.69,0.81,Developing,Developing,Developing,Developing,Proficient,"May 14, 2015",2.06,1.94,0.214,0.317,0.159,0.860,0.152,0.697,0.028,0.269,0.676,0.014,0.9,0.92,0.79,0.61,0.96
07X522,Bronx Design and Construction Academy,High School,563,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Not Meeting Target,0.86,0.94,0.82,0.92,0.77,0.94,Proficient,Developing,Proficient,Well Developed,Proficient,"March 19-20, 2014",2.2,2.19,0.142,0.252,0.039,0.824,0.096,0.680,0.014,0.240,0.705,0.034,0.8,0.59,0.81,0.57,0.97
07X527,Bronx Leadership Academy II High School,High School,495,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.71,0.87,0.89,0.84,0.75,0.94,Proficient,Proficient,Proficient,Well Developed,Well Developed,"February 12, 2015",2.13,2.12,0.139,0.267,0.034,0.831,0.109,0.689,0.022,0.323,0.634,0.008,4.9,0.57,0.85,0.46,0.97
07X547,New Explorers High School,High School,475,N/A,N/A,Meeting Target,N/A,N/A,N/A,Approaching Target,0.70,0.73,0.79,0.84,0.77,0.83,Proficient,Developing,Proficient,Proficient,Proficient,"January 14, 2015",2.11,2.01,0.103,0.261,0.118,0.855,0.145,0.705,0.004,0.314,0.676,0.004,5.5,0.78,0.81,0.48,0.97
07X548,Urban Assembly School for Careers in Sports,High School,587,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,0.93,0.96,0.85,0.93,0.72,0.94,Proficient,Developing,Proficient,Proficient,Proficient,"February 3, 2015",2.39,2.31,0.072,0.233,0.005,0.820,0.116,0.675,0.002,0.286,0.695,0.014,4.4,0.85,0.80,0.49,0.96
07X551,The Urban Assembly Bronx Academy of Letters,High School,591,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.80,0.79,0.76,0.72,0.77,0.83,Proficient,Developing,Proficient,Well Developed,Proficient,"May 20-21, 2014",2.15,2.02,0.136,0.250,0.111,0.882,0.075,0.711,0.009,0.304,0.669,0.015,0.9,0.37,0.83,0.48,0.97
07X600,Alfred E. Smith Career and Technical Education Hig,High School,375,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.85,0.77,0.75,0.77,0.74,0.84,Developing,Developing,Developing,Proficient,Proficient,"May 5, 2015",2.08,2.03,0.192,0.283,0.069,0.798,0.147,0.640,0.011,0.291,0.683,0.008,3,0.81,0.83,0.52,0.95
07X655,Samuel Gompers Career and Technical Education High,High School,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.82,0.86,0.74,0.73,0.84,0.88,N/A,N/A,N/A,N/A,N/A,,2.15,2.1,0.103,0.321,0.013,0.833,0.103,0.667,0.000,0.321,0.641,0.026,12,0.92,0.70,0.84,0.94
07X670,Health Opportunities High School,High School,554,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.85,0.87,0.84,0.85,0.87,0.91,Proficient,Developing,Proficient,Proficient,Proficient,"March 11-12, 2014",2.18,2.12,0.078,0.193,0.081,0.834,0.117,0.688,0.031,0.361,0.579,0.018,3.6,0.67,0.79,0.57,0.97
08X269,Bronx Studio School for Writers and Artists,High School,565,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.81,0.84,0.79,0.82,0.75,0.91,Proficient,Developing,Proficient,Proficient,Proficient,"May 14, 2015",2.29,2.24,0.120,0.240,0.055,0.853,0.111,0.729,0.012,0.203,0.769,0.006,11,0.51,0.86,0.45,0.97
08X282,Women's Academy of Excellence,High School,345,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.84,0.84,0.66,0.78,0.66,0.81,Proficient,Developing,Developing,Proficient,Proficient,"May 19, 2015",2.21,2.09,0.046,0.220,0.012,0.767,0.130,0.591,0.035,0.501,0.412,0.026,11,0.73,0.79,0.64,0.96
08X293,Renaissance High School for Musical Theater & Tech,High School,444,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.82,0.93,0.84,0.92,0.68,0.93,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"April 22, 2015",2.28,2.09,0.036,0.241,0.005,0.730,0.077,0.597,0.032,0.279,0.610,0.072,7,0.71,0.83,0.50,0.98
08X295,Gateway School for Environmental Research and Tech,High School,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.90,0.85,0.82,0.86,0.85,0.90,N/A,N/A,N/A,N/A,N/A,,2.11,1.97,0.171,0.371,0.014,0.707,0.086,0.543,0.014,0.314,0.643,0.029,0.9,0.89,0.81,0.68,0.95
08X305,Pablo Neruda Academy,High School,315,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,0.82,0.91,0.78,0.90,0.75,0.93,Developing,Developing,Developing,Proficient,Proficient,"November 13, 2014",2.05,1.96,0.184,0.356,0.022,0.803,0.156,0.619,0.044,0.260,0.676,0.013,1.3,0.63,0.84,0.45,0.97
08X312,Millennium Art Academy,High School,487,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.85,0.86,0.81,0.84,0.75,0.93,Developing,Developing,Developing,Proficient,Proficient,"December 5, 2014",2.26,2.11,0.047,0.294,0.006,0.785,0.092,0.641,0.023,0.300,0.651,0.018,3,0.81,0.86,0.44,0.96
08X320,Pelham Lab High School,High School,211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.79,0.75,0.76,0.77,0.77,0.84,Proficient,Developing,Developing,Proficient,Proficient,"November 24, 2014",2.17,2.15,0.147,0.246,0.005,0.783,0.104,0.630,0.076,0.332,0.526,0.052,2,0.47,0.90,0.35,0.98
08X332,Holcombe L. Rucker School of Community Research,High School,236,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.85,0.94,0.84,0.84,0.74,0.91,Developing,Developing,Developing,Proficient,Proficient,"April 14, 2015",2.06,1.99,0.110,0.297,0.081,0.836,0.186,0.661,0.004,0.432,0.547,0.004,9,0.82,0.85,0.45,0.95
